,Score,Price,PublicationDate,AppSize,LastUpdateDate,Instalations,IsTopDeveloper,HaveInAppPurchases,IsFree,0,1,2,3,4,0.1,1.1,2.1,3.1,4.1,0.2,1.2,2.2,3.2,4.2,0.3,1.3,2.3,3.3,4.3,0.4,1.4,2.4,3.4,4.4
1,0.00552416126957,0.00246587133337,-0.00292978301304,-0.0164562759592,-0.00292978301304,0.00804109011351,0.00129177337494,0.00374074423965,-0.0255042699339,-0.0297655887495,1.0,0.0103305178367,0.0425928176238,-0.0239142683328,-0.00148078303252,0.00342307477049,-0.0195018664069,0.0106696330912,0.0589409133159,0.0253682010243,-0.0336820338058,-0.424988049339,0.200866585556,-0.0281741966073,0.0883461270816,-0.0024456083088,0.0129901799026,-0.00366044235587,0.00330571338292,0.0234919654945,-0.364278478815,0.413611229189,-0.135956583169,-0.261347749894
2,0.0210668744331,0.00124306348694,-0.0143658322296,-0.0211014203662,-0.0143658322296,0.000120315592886,-0.00247503243503,-0.0166793128904,-0.0105374366023,0.0408268111083,0.0103305178367,1.0,-0.104440417182,0.0531388254073,-0.00230905727707,0.0321905221949,-0.0407689768627,0.0482774281982,-0.0333298423481,-0.0291044255672,0.109710487687,-0.285437622919,0.137251459228,-0.00358757295263,-0.117291263547,0.128079659039,-0.10008236138,0.0206884069193,-0.026480898243,-0.0198379889702,-0.0157868855913,0.23441360363,-0.0506426195295,-0.103616096263
3,0.022190288626,0.0111303137233,0.0187325519822,-0.0105268266227,0.0187325519822,-0.00214385906674,0.00631256359188,0.00648782374473,-0.0078020172477,-0.0111666508344,0.0425928176238,-0.104440417182,1.0,-0.0487584873309,-0.185558479241,0.031489635603,-0.0198495346065,-0.0700321894905,0.0951531625757,-0.0093151349031,0.00837283690811,-0.245028083949,0.0528087994611,0.046811980335,-0.0453431779668,0.160626347851,-0.0243896425633,-0.0282437431375,0.00230234833911,0.00255247989785,-0.259316995183,0.256795449753,-0.126524899207,0.0187417966618
4,-0.0302439203345,0.0096576051006,0.013186007517,0.00435201438093,0.013186007517,-0.00158382356946,-0.0055273732897,-0.0166809616566,-0.030636017196,0.00267021633498,-0.0239142683328,0.0531388254073,-0.0487584873309,1.0,-0.0731298160205,-0.0288594460229,0.000883934309773,0.0742277715045,-0.161932843006,-0.0124376556134,0.0684541455404,0.155857580337,-0.000962599444783,-0.0467312069253,-0.106159284694,-0.145741064646,0.0737184986956,-0.0685238356549,-0.0441943521968,-0.013283810442,0.227511776586,-0.104187780247,0.109888057197,0.0102088666096
0.1,-0.0136221518255,-0.00658563988463,0.00754702952364,-0.000687411518434,0.00754702952364,0.00021349903858,-0.0031934441646,0.00976389529309,0.0132066486964,-0.0139875008349,-0.00148078303252,-0.00230905727707,-0.185558479241,-0.0731298160205,1.0,-0.0146146249908,0.0387460520396,0.0248695908436,0.0491348353703,0.0136029640368,-0.0527673518479,0.0455023427244,0.0406728550064,0.00718616767935,0.0189616486012,-0.0960751152261,0.110863583695,-0.0884582159646,0.0115772443098,0.0486276413576,0.220736425254,0.0950322957203,0.040396320053,-0.0871868799673
1.1,-0.000402504653587,0.000575250054497,0.00810083986521,-0.00198786660071,0.00810083986521,0.0015351620302,0.00226583628535,-0.0201376584226,-0.00431358053649,-0.0263032774128,0.00342307477049,0.0321905221949,0.031489635603,-0.0288594460229,-0.0146146249908,1.0,-0.379532470259,0.141080372537,-0.136398786049,0.0135369832382,0.0933781097186,0.0165243404026,-0.00593264480338,0.0027157646812,0.028329085936,-0.00327498625754,0.00771499260209,0.0114835296416,0.0119776663206,0.0208827492778,0.0113659257802,0.101269068108,-0.014254262607,0.00640438948617
2.1,0.0116518185685,-0.00154503080394,0.011205754632,0.0021983381504,0.011205754632,-0.00560222091563,-0.00579612934802,0.0250709074307,0.0112636514234,0.0360761711471,-0.0195018664069,-0.0407689768627,-0.0198495346065,0.000883934309773,0.0387460520396,-0.379532470259,1.0,-0.606055329544,-0.191200751978,-0.0317605548608,-0.0645283016544,-0.0173136935781,0.0232034880041,-0.0121119500824,0.0726882344557,-0.0570113583792,0.0308885954168,-0.0397337378624,-0.0137258936985,-0.064979624839,-0.125780000734,-0.12122338405,-0.0716964671392,0.0334675366057
3.1,-0.031731531412,0.00268359001663,0.00173968444705,-0.000322345900163,0.00173968444705,-0.000311194699235,-0.00539123539177,-0.0243012256232,-0.0168197645675,-0.0424295761517,0.0106696330912,0.0482774281982,-0.0700321894905,0.0742277715045,0.0248695908436,0.141080372537,-0.606055329544,1.0,-0.00694625982595,0.0263343739554,0.0464641135818,0.0506238809752,-0.0509884516783,0.0142321064608,-0.181170097578,0.107736757354,-0.114326893989,0.0619530023967,0.0112056666283,0.0827993253936,0.124784739305,0.0752527140579,0.0567272941502,-0.0547262246485
4.1,0.0209503295536,-0.00282007629623,0.000304464937681,-0.00452669650808,0.000304464937681,-0.00131975538007,-0.00448009216214,0.00113236166197,0.0106312248478,0.0485596642403,0.0589409133159,-0.0333298423481,0.0951531625757,-0.161932843006,0.0491348353703,-0.136398786049,-0.191200751978,-0.00694625982595,1.0,-0.0517860455572,-0.207873278854,-0.0594596778569,0.0360606044138,-0.00933485856684,-0.0598858821227,0.0503750715452,-0.133578868732,0.0984208499841,-0.018771483461,-0.023516547307,0.0154734240203,0.0498739807505,0.00198081662434,-0.0151735792646
0.2,0.00213100810329,-0.00160528793814,-0.0142273935199,-0.00189565040118,-0.0142273935199,0.00143282556686,0.00502181073973,-0.00458228225271,-0.0192803152797,-0.21195287043,0.0253682010243,-0.0291044255672,-0.0093151349031,-0.0124376556134,0.0136029640368,0.0135369832382,-0.0317605548608,0.0263343739554,-0.0517860455572,1.0,0.030812990079,-0.110091145146,-0.344844478417,0.0115578300683,0.0642126876392,0.0709421649363,0.0310421359353,-0.125845129816,0.507430727956,0.729240322629,-0.00624592253494,-0.0143386451595,0.0125575718098,-0.035553718848
1.2,-0.0194108851454,0.00309077999807,-0.0230874651331,0.00758867761289,-0.0230874651331,-0.012685594936,-0.00555299893624,0.00813709762304,-0.0169100878781,-0.0682458657584,-0.0336820338058,0.109710487687,0.00837283690811,0.0684541455404,-0.0527673518479,0.0933781097186,-0.0645283016544,0.0464641135818,-0.207873278854,0.030812990079,1.0,-0.0866551490067,0.0273658408777,0.0178870620175,-0.0315361947867,-0.171226465368,-0.0331684958337,0.164784126739,0.153939462054,0.0245460128602,0.0738670122006,0.0483889336067,-0.0382547753517,-0.0171261228363
2.2,0.00493347159179,-0.00190077881837,0.0204275733999,-0.00523979876202,0.0204275733999,-0.00400145765943,-0.00361113946463,-0.0109814520089,0.0106333727566,0.109054202359,-0.424988049339,-0.285437622919,-0.245028083949,0.155857580337,0.0455023427244,0.0165243404026,-0.0173136935781,0.0506238809752,-0.0594596778569,-0.110091145146,-0.0866551490067,1.0,-0.289909510679,0.024007020479,0.0175215153263,-0.0749447493053,0.0217751559961,0.0100862608986,-0.165135001111,-0.110302138552,0.140499623826,-0.203883144723,0.414182368146,0.236383551613
3.2,-0.0336287825484,0.00160197748577,-0.0214412508559,0.00514485497486,-0.0214412508559,0.00145490758209,0.000253990124095,0.0117628639052,0.0314180333223,-0.092153147951,0.200866585556,0.137251459228,0.0528087994611,-0.000962599444783,0.0406728550064,-0.00593264480338,0.0232034880041,-0.0509884516783,0.0360606044138,-0.344844478417,0.0273658408777,-0.289909510679,1.0,-0.00907756894148,-0.0353163849766,-0.0719218147275,-0.0103881027426,0.149755976751,-0.70783834775,-0.242996696585,-0.0506409527109,0.054376919053,-0.181877529025,-0.213190368183
4.2,0.0153313879417,-0.000643225785906,0.00495365782851,-0.00254237162339,0.00495365782851,3.82701338165e-05,0.000971988031878,-0.00200502079766,0.00211769256325,0.0620397478665,-0.0281741966073,-0.00358757295263,0.046811980335,-0.0467312069253,0.00718616767935,0.0027157646812,-0.0121119500824,0.0142321064608,-0.00933485856684,0.0115578300683,0.0178870620175,0.024007020479,-0.00907756894148,1.0,0.00285062745263,0.108643635491,-0.00458185415976,-0.0819532408799,-0.021746668315,-0.0990238304332,0.106361016393,-0.0326797191993,0.0476300917356,-0.331166530223
0.3,-0.00831305519218,-0.0136843918634,0.00133449392587,-0.0128075423408,0.00133449392587,0.0020927796928,-0.00159722577166,0.00877779755729,0.0260831518513,0.0113211940242,0.0883461270816,-0.117291263547,-0.0453431779668,-0.106159284694,0.0189616486012,0.028329085936,0.0726882344557,-0.181170097578,-0.0598858821227,0.0642126876392,-0.0315361947867,0.0175215153263,-0.0353163849766,0.00285062745263,1.0,-0.014950520492,0.0321862600567,-0.004932890631,0.00274229425151,-0.0238184311234,-0.070429350079,-0.19039409033,0.0621897943283,-0.00929069795124
1.3,0.0236474217611,-0.0041963127172,0.0139818260844,-0.00583182408563,0.0139818260844,0.00413443566322,0.00162831122262,-0.000608862849243,-0.00710058223077,0.119768889095,-0.0024456083088,0.128079659039,0.160626347851,-0.145741064646,-0.0960751152261,-0.00327498625754,-0.0570113583792,0.107736757354,0.0503750715452,0.0709421649363,-0.171226465368,-0.0749447493053,-0.0719218147275,0.108643635491,-0.014950520492,1.0,-0.498973583886,0.0984532828095,-0.0284662739433,0.0826444517956,-0.139920910908,0.0273056695149,0.00542568554782,0.0534368534509
2.3,-0.0150406526206,-0.00351220154277,-0.0144064437128,0.00150348161867,-0.0144064437128,0.000385003271222,0.0118068737544,0.00301027250151,0.0188852049547,-0.0415864869484,0.0129901799026,-0.10008236138,-0.0243896425633,0.0737184986956,0.110863583695,0.00771499260209,0.0308885954168,-0.114326893989,-0.133578868732,0.0310421359353,-0.0331684958337,0.0217751559961,-0.0103881027426,-0.00458185415976,0.0321862600567,-0.498973583886,1.0,-0.628773272648,-0.0596929854575,-0.0812574772652,0.0645600760582,-0.0588649966501,0.0877522891006,-0.110823621433
3.3,0.0249986074868,0.00613352076992,-0.0124476811346,0.00162379290435,-0.0124476811346,0.00418824949392,-0.00300351776755,0.00298323174721,-0.0114745168272,-0.0251464222211,-0.00366044235587,0.0206884069193,-0.0282437431375,-0.0685238356549,-0.0884582159646,0.0114835296416,-0.0397337378624,0.0619530023967,0.0984208499841,-0.125845129816,0.164784126739,0.0100862608986,0.149755976751,-0.0819532408799,-0.004932890631,0.0984532828095,-0.628773272648,1.0,0.0613356560148,0.00662097324621,-0.0155035813911,0.0791833576444,-0.150038222523,0.182461120881
4.3,0.0235919084112,0.00171813020915,0.00467445543221,-0.000688199411872,0.00467445543221,0.00040549498432,0.000843083628091,-0.00275685844289,-0.0491996737079,-0.024170451281,0.00330571338292,-0.026480898243,0.00230234833911,-0.0441943521968,0.0115772443098,0.0119776663206,-0.0137258936985,0.0112056666283,-0.018771483461,0.507430727956,0.153939462054,-0.165135001111,-0.70783834775,-0.021746668315,0.00274229425151,-0.0284662739433,-0.0596929854575,0.0613356560148,1.0,0.403094049238,-0.00481389182013,-0.0113051876391,-0.0369866064171,0.0390102170911
0.4,0.00581657657266,-0.00172031981244,0.00598306732313,-0.00819526235413,0.00598306732313,-0.000548204143506,0.00199410027273,-0.0134413170898,-0.00437526654532,-0.290474484213,0.0234919654945,-0.0198379889702,0.00255247989785,-0.013283810442,0.0486276413576,0.0208827492778,-0.064979624839,0.0827993253936,-0.023516547307,0.729240322629,0.0245460128602,-0.110302138552,-0.242996696585,-0.0990238304332,-0.0238184311234,0.0826444517956,-0.0812574772652,0.00662097324621,0.403094049238,1.0,0.0996769577186,0.146268322876,-0.01968206126,0.0613472097185
1.4,-0.0151507126151,-0.00696317144152,0.00423854872154,-0.010282372147,0.00423854872154,0.00159150229818,0.00284718924531,-0.00746783809571,0.033707033085,0.099294790182,-0.364278478815,-0.0157868855913,-0.259316995183,0.227511776586,0.220736425254,0.0113659257802,-0.125780000734,0.124784739305,0.0154734240203,-0.00624592253494,0.0738670122006,0.140499623826,-0.0506409527109,0.106361016393,-0.070429350079,-0.139920910908,0.0645600760582,-0.0155035813911,-0.00481389182013,0.0996769577186,1.0,0.0583306761881,0.0450735335806,-0.00630152723455
2.4,-0.0112468949798,0.00253439528757,0.0211693263077,-0.00244319031753,0.0211693263077,0.00719043051175,0.00621229054417,-0.0100152877829,-0.000971286082248,-0.145632567464,0.413611229189,0.23441360363,0.256795449753,-0.104187780247,0.0950322957203,0.101269068108,-0.12122338405,0.0752527140579,0.0498739807505,-0.0143386451595,0.0483889336067,-0.203883144723,0.054376919053,-0.0326797191993,-0.19039409033,0.0273056695149,-0.0588649966501,0.0791833576444,-0.0113051876391,0.146268322876,0.0583306761881,1.0,-0.0436453569562,-0.0132466955309
3.4,-0.0167623831949,-0.00780039681749,-0.00487440515844,-0.00589914163099,-0.00487440515844,0.000233462056165,-0.00242194809958,-0.025288144948,0.0173678802444,-0.00505610514764,-0.135956583169,-0.0506426195295,-0.126524899207,0.109888057197,0.040396320053,-0.014254262607,-0.0716964671392,0.0567272941502,0.00198081662434,0.0125575718098,-0.0382547753517,0.414182368146,-0.181877529025,0.0476300917356,0.0621897943283,0.00542568554782,0.0877522891006,-0.150038222523,-0.0369866064171,-0.01968206126,0.0450735335806,-0.0436453569562,1.0,0.0832154764157
4.4,0.0110481716788,0.00802696227011,0.0133228626228,0.00119609078756,0.0133228626228,-0.00675579350187,0.00471411964878,-0.0154604621912,-0.00770471389073,-0.00354558798488,-0.261347749894,-0.103616096263,0.0187417966618,0.0102088666096,-0.0871868799673,0.00640438948617,0.0334675366057,-0.0547262246485,-0.0151735792646,-0.035553718848,-0.0171261228363,0.236383551613,-0.213190368183,-0.331166530223,-0.00929069795124,0.0534368534509,-0.110823621433,0.182461120881,0.0390102170911,0.0613472097185,-0.00630152723455,-0.0132466955309,0.0832154764157,1.0
